Unnamed: 0,ID_POM,PROFIL_RFX,PS,CODE_IRIS,TYPE_LOG,CODE_INSEE,conso_moy
16226,2695581,RES1,6.0,60881308,0.0,6088,7242
16319,2977331,RES1,6.0,60882905,0.0,6088,11005
16320,20276741,RES2,12.0,33210105,1.0,3321,23550
16375,2718541,RES2,12.0,60460000,1.0,6046,22592
16427,1620971,RES2,6.0,60040107,0.0,6004,10107
16433,20351111,RES1,3.0,31850114,1.0,3185,1363
16451,2679201,RES1,6.0,60881104,0.0,6088,7770
16455,20196521,RES11,9.0,31560000,1.0,3156,19038
16465,4528241,RES2,6.0,41120103,0.0,4112,6338
16665,2624771,RES2,6.0,60881005,0.0,6088,4563
16671,2394601,RES1,6.0,50610114,1.0,5061,5553
16672,2821861,RES2,15.0,60880801,1.0,6088,52715
16686,2373261,RES2,6.0,42050000,1.0,4205,7853
16702,2824841,RES11,9.0,60883202,1.0,6088,28002
16755,2751301,RES2,6.0,60880402,0.0,6088,21419
16766,2821141,RES2,6.0,60883601,0.0,6088,17824
16767,2645981,RES1,6.0,60881308,0.0,6088,3585
